date,IMSI,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
20160105,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.29018,31.32896001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,,,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001
20160106,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.29018,31.32896001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,,,,,,,,,,,,,,,,,,
20160104,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,,,,,121.2839,31.34085001,,,121.2839,31.34085001,,,,,,,121.2839,31.34085001,121.29018,31.32896001,121.29018,31.32896001,121.29018,31.32896001,,
20160103,ff7cfb0e717cc3a48af443209168ef92,121.29018,31.32896001,121.29018,31.32896001,121.29018,31.32896001,121.29018,31.32896001,121.29018,31.32896001,121.29018,31.32896001,121.29018,31.32896001,121.2839,31.34085001,121.29018,31.32896001,121.2839,31.34085001,121.29018,31.32896001,,,121.29018,31.32896001,,,121.29018,31.32896001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.41694,31.24027001,121.29018,31.32896001,,,121.2839,31.34085001,121.2839,31.34085001
20151229,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.29852,31.35621001,121.2839,31.34085001,121.2839,31.34085001,121.29852,31.35621001,121.29852,31.35621001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001
20151230,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,,,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001
20151227,ff7cfb0e717cc3a48af443209168ef92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.41694,31.24027001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001
20151228,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.29852,31.35621001,,,121.2839,31.34085001,,,121.2839,31.34085001,,,,,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001
20151231,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,121.26525,31.38430001,,,,,,,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,,,121.2839,31.34085001,,,,,121.2839,31.34085001
20160101,ff7cfb0e717cc3a48af443209168ef92,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.273624,31.34573201,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001,121.50716,31.23699001,121.2839,31.34085001,121.2839,31.34085001,121.2839,31.34085001